id,label
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,1
541,0
542,1
543,0
544,1
545,0
546,0
547,1
548,0
549,1
550,1
551,0
552,1
553,0
554,0
555,0
556,1
557,0
558,0
559,1
560,0
561,0
562,0
563,1
564,0
565,1
566,1
567,1
568,1
569,0
570,1
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,1
579,0
580,0
581,0
582,0
583,0
584,1
585,0
586,1
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,1
599,0
600,0
601,1
602,0
603,0
604,0
605,1
606,1
607,0
608,0
609,1
610,0
611,0
612,0
613,0
614,0
615,1
616,1
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,1
629,0
630,1
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,1
642,0
643,0
644,0
645,0
646,0
647,1
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,1
663,0
664,0
665,0
666,1
667,0
668,1
669,0
670,0
671,0
672,0
673,0
674,0
675,1
676,0
677,1
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,1
687,0
688,0
689,0
690,0
691,0
692,0
693,1
694,1
695,0
696,0
697,1
698,1
699,1
700,0
701,1
702,0
703,0
704,1
705,0
706,1
707,0
708,0
709,1
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,1
723,0
724,0
725,0
726,1
727,1
728,0
729,1
730,0
731,1
732,1
733,0
734,1
735,0
736,1
737,1
738,0
739,1
740,0
741,1
742,1
743,0
744,0
745,0
746,0
747,0
748,1
749,0
750,0
751,0
752,0
753,0
754,1
755,0
756,0
757,0
758,1
759,0
760,0
761,0
762,0
763,1
764,1
765,0
766,0
767,1
768,0
769,1
770,0
771,0
772,0
773,1
774,1
775,0
776,1
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,1
791,0
792,1
793,0
794,0
795,1
796,1
797,0
798,0
799,0
800,1
801,0
802,1
803,1
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,1
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,1
823,0
824,1
825,0
826,0
827,1
828,0
829,0
830,0
831,0
832,0
833,1
834,0
835,0
836,0
837,1
838,1
839,0
840,1
841,0
842,0
843,1
844,0
845,0
846,1
847,1
848,0
849,0
850,1
851,0
852,1
853,1
854,0
855,1
856,1
857,0
858,0
859,1
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,1
869,0
870,0
871,0
872,0
873,1
874,0
875,0
876,0
877,1
878,1
879,0
880,1
881,0
882,0
883,0
884,0
885,1
886,1
887,0
888,0
889,1
890,0
891,1
892,0
893,0
894,0
895,1
896,0
897,1
898,0
899,1
900,0
901,0
902,1
903,0
904,1
905,1
906,0
907,0
908,0
909,0
910,0
911,0
912,1
913,0
914,0
915,1
916,0
917,1
918,1
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,1
929,0
930,1
931,0
932,0
933,1
934,1
935,0
936,0
937,1
938,0
939,0
940,1
941,1
942,0
943,0
944,0
945,0
